codigo;descripcion;uni_med;cantidad;valor;codigo_cliente;cuidad
1 0000003;LECHE CREMA NO LACTEA FANS 1 KG.;UNI;42;253,5;10042;JUNIN
1 0010128;ACOND. SAVITAL BIOTINA Y SABILA 530ML.;UNI;1;4,09;10042;JUNIN
1 0010137;TRATAMIENTO NUTRIBELA REPOLARIZACION 300ML;UNI;1;4,91;10042;JUNIN
1 0010150;SH. SAVITAL 550ML. BIOTINA;UNI;1;4,09;10042;JUNIN
1 0010151;SH. SAVITAL 550ML. KERATINA;UNI;1;4,09;10042;JUNIN
1 0010152;SH. SAVITAL 550ML. MULTIVITAMINA;UNI;7;27,53;10042;JUNIN
1 0010165;SH. SAVITAL COLAGENO Y SABILA 550ML.;UNI;1;4,09;10042;JUNIN
1 0010168;ACOND. SAVITAL MULTIVITAMINAS 530ML.;UNI;1;4,09;10042;JUNIN
1 0010173;TRATAMIENTO NUTRIBELA BIOKERATINA 300ML;UNI;1;4,91;10042;JUNIN
1 0011030;ACEITE ROJO PARA MUEBLE MOEBEL 240ML.;FCO;10;19,2;10042;JUNIN
1 0041006;PILA SONY CARBON X 1 AAA;UNI;40;8;10042;JUNIN
1 0120120;HOJA DE AFEITAR GUILLETE 1X5;UNI;40;24;10042;JUNIN
1 0160050;ACEITE JOHNSON BABY  50 ML.;UNI;7;8,68;10042;JUNIN
1 0160140;COTONETES MADERA CARLITOS 3 x100;UNI;26;10,32;10042;JUNIN
1 0222056;COLONIA PERSONI 100ML CON ATOMIZADOR;UNI;4;8,18;10042;JUNIN
1 0230008;DESOD. SUTTON CLASICO 30GR. ROLLON;UNI;29;26,99;10042;JUNIN
1 0230071;NAIPE TUN HUANG;UNI;36;11,99;10042;JUNIN
1 0230922;PEGAMENTO SUPER GOMA 3G.;UNI;64;5,98;10042;JUNIN
1 0450077;SH. SEDAL DE 340ML. CONTROL CASPA;UNI;5;14,58;10042;JUNIN
1 0450079;SH. SEDAL DE 340ML. RIZOS DEFINIDOS;UNI;2;6,86;10042;JUNIN
1 0450080;SH. SEDAL DE 340ML. KERATINA;UNI;2;6,86;10042;JUNIN
1 0450082;SH. SEDAL DE 340ML. LISO PERFECTO;UNI;3;10,29;10042;JUNIN
1  0450141;SH. SEDAL 190ML. KERATINA;UNI;3;6,9;10042;JUNIN
