"cliente","ciudad","valor","tipo.cliente"
13759,3,180.01,1
15166,7,434.52,1
15601,11,298.39,12
15601,11,150.14,12
15601,11,112.57,12
15601,11,190.01,12
15601,11,161.19,12
11476,11,129.77,1
12168,11,504.08,1
15601,11,149.77,12
15601,11,80.48,12
14023,2,212.12,1
15541,2,323.16,1
13759,3,662.56,1
15166,7,130.86,1
15601,11,47.14,12
15601,11,39.86,12
15100,6,432.17,4
15541,2,358.11,1
15166,7,15.81,1
15331,11,305.61,1
11476,11,321.98,1
15601,11,67.5,12
15601,11,54.96,12
15601,11,311.47,12
15100,6,210.07,4
15615,3,204.02,4
13373,6,1024.45,4
13373,6,294.18,4
15562,8,50.08,1
13594,4,257.51,1
15166,7,60.09,1
13759,3,179.61,1
15619,3,207.4,6
13460,8,71.99,4
15621,4,40,4
14023,2,264.73,1
11476,11,418.25,1
12168,11,323.3,1
13759,3,288,1
15166,7,132.69,1
15166,7,122.33,1
15166,7,171.79,1
15100,6,1736,4
15166,7,32.58,1
13594,4,168.97,1
15623,4,36.11,4
13759,3,47.04,1
15625,1,128.76,1
15541,2,173.01,1
15562,8,270.87,1
15615,3,74.54,4
15631,3,348.24,9
15631,3,154.77,9
15632,3,179.27,11
15633,15,174.81,9
15166,7,97.17,1
12168,11,309.8,1
11476,11,533.5,1
11476,11,1452.68,1
15166,7,327.72,1
15166,7,128.91,1
15166,7,87.89,1
13759,3,586.73,1
13759,3,104.08,1
13759,3,115.4,1
15166,7,140.13,1
14023,2,587.99,1
14023,2,98.22,1
15541,2,696.73,1
13594,4,198.49,1
13594,4,89,1
14056,4,140.77,6
14056,4,106.62,6
11838,1,210.13,4
11838,1,122.66,4
11838,1,89.24,4
15541,2,316.76,1
12168,11,33.01,1
15619,3,508.39,6
15662,11,37.5,1
15562,8,559.19,1
14056,4,52.19,6
13759,3,764.16,1
15541,2,156.6,1
15166,7,240.92,1
15166,7,265.76,1
15166,7,119.35,1
15662,11,262.39,1
11476,11,157.2,1
15320,11,184.78,6
15662,11,266.69,1
12168,11,288.15,1
13594,4,218.92,1
15673,3,586.63,1
13759,3,772.76,1
15673,3,225.21,1
15166,7,170.3,1
11476,11,447.22,1
12168,11,372.68,1
14023,2,401.42,1
15673,3,171.55,1
15673,3,118.04,1
13759,3,369.25,1
14056,4,266.36,6
15661,6,389.2,4
15562,8,458.14,1
15619,3,149.07,6
13759,3,450.2,1
15541,2,500.77,1
13594,4,103.63,1
15100,6,288.15,4
12168,11,340.76,1
13759,3,206.74,1
13759,3,116.09,1
13759,3,185.57,1
15673,3,474.11,1
15673,3,284.68,1
13759,3,35.9,1
14023,2,501.01,1
15541,2,651.25,1
12168,11,288.15,1
13594,4,113.56,1
15100,6,548.63,4
15661,6,216.66,4
15615,3,74.54,4
13594,4,297.25,1
13594,4,48.52,1
12168,11,301.82,1
15662,11,71.99,1
15685,15,172.11,1
15166,7,231.85,1
15166,7,182.15,1
15331,11,776.41,1
11476,11,390.31,1
14056,4,99.47,6
14023,2,351.29,1
11476,11,68.39,1
15563,15,79.28,13
15166,7,115.45,1
13759,3,90.59,1
15541,2,125.33,1
14023,2,280.85,1
15661,6,488.79,4
15166,7,19.96,1
15689,5,1205.38,1
12168,11,934.04,1
11476,11,341.68,1
16577,10,85.56,13
15319,18,298.14,1
15541,2,1273.36,1
15562,8,415.41,1
15562,8,194.67,1
15166,7,299.28,1
15166,7,31.51,1
12168,11,288.15,1
15166,7,22.68,1
13594,4,519.67,1
15689,5,280.01,1
16578,14,71.99,13
14023,2,530.47,1
14056,4,73.05,6
15683,13,60.48,9
15562,8,96.25,1
15693,11,299.07,6
15166,7,241.39,1
15693,11,167.61,6
12168,11,92.89,1
13759,3,568.14,1
12168,11,452.74,1
15619,3,191.99,6
11476,11,125.87,1
15661,6,500.02,1
13594,4,169.31,1
15331,11,324.52,1
15563,15,122.51,4
12168,11,527.28,1
13594,4,58.13,1
15541,2,187.96,1
15661,6,154.12,1
16582,15,48.37,13
12168,11,1072.17,1
15673,3,365.87,1
15673,3,437.44,1
15673,3,207.3,1
13759,3,512.21,1
13759,3,52.37,1
15166,7,196.5,1
15166,7,101.99,1
12168,11,223.61,1
15562,8,319.57,1
14023,2,150.91,1
15166,7,8.01,1
13594,4,86.97,1
15541,2,620.28,1
16594,11,60.5,13
16595,11,130.73,1
16595,11,33.62,1
16596,19,128.68,1
13759,3,366.67,1
13759,3,99.18,1
16598,6,112.99,1
16598,6,531.1,1
12168,11,288.15,1
11476,11,260.37,1
15166,7,297.02,1
15166,7,70.88,1
16594,11,12.58,13
12168,11,754.56,1
16605,11,140.9,4
13783,11,65.38,13
15562,8,206.35,1
15562,8,57.61,1
15541,2,644.91,1
13594,4,187.17,1
14023,2,452.41,1
14023,2,119.5,1
11476,11,183.72,1
15166,7,292.79,1
15166,7,53.83,1
12168,11,936.98,1
12168,11,92.89,1
13759,3,108.02,1
14023,2,347.6,1
15541,2,489.07,1
14023,2,131.34,1
12168,11,660.06,1
11476,11,290.25,1
15619,3,74.54,6
15562,8,157.74,1
15541,2,299.35,1
16594,11,62.43,13
16605,11,139.45,4
16598,6,294.51,1
16598,6,267.68,1
16596,19,90.38,1
12168,11,447.22,1
15562,8,95.98,1
15166,7,359.31,1
15166,7,183.72,1
15541,2,262.54,1
12168,11,452.74,1
15331,11,628.07,1
16594,11,11.04,13
16605,11,82.32,4
15166,7,107.12,1
15601,11,173.34,12
15601,11,86.85,12
15601,11,21.77,12
15601,11,79.27,12
15601,11,55,12
15601,11,157.37,12
15601,11,219.44,12
15601,11,14.29,12
15601,11,35.78,12
15601,11,40.61,12
15601,11,114.51,12
15601,11,78,12
15601,11,34.36,12
15601,11,41.28,12
15601,11,20.02,12
15601,11,156.6,12
15601,11,84.96,12
15601,11,237.85,12
15601,11,112.59,12
15601,11,71.21,12
15601,11,70.18,12
15601,11,25.96,12
15601,11,122.78,12
15601,11,54.15,12
15601,11,101.16,12
